StudyHours,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,EduTech,StressLevel,Target
29,1,1,1,1,1,23,0,1,0,1,2,0
29,0,1,0,1,1,20,0,17,1,1,2,0
29,0,1,0,1,1,23,2,4,1,1,2,0
29,0,1,0,1,1,23,0,1,0,1,2,0
19,1,1,1,1,0,19,3,12,1,1,2,1
19,1,1,1,1,0,26,2,3,0,1,2,1
19,2,0,1,1,0,19,3,12,1,1,2,1
19,2,0,1,1,0,26,2,3,0,1,2,1
19,2,1,1,1,0,19,3,12,1,1,2,1
19,2,1,1,1,0,26,2,3,0,1,2,1
19,1,1,1,1,0,19,3,12,1,1,2,1
19,1,1,1,1,0,26,2,3,0,1,2,1
19,1,0,2,1,0,19,3,12,1,1,2,1
19,1,0,2,1,0,26,2,3,0,1,2,1
29,0,1,0,1,1,21,2,10,1,1,2,0
29,0,1,0,1,1,28,2,14,0,1,0,0
29,1,1,1,1,1,21,2,10,1,1,2,0
29,1,1,1,1,1,28,2,14,0,1,0,0
25,2,1,1,1,1,18,2,17,0,1,2,0
25,0,1,1,1,1,18,2,17,0,1,2,0
17,2,0,2,1,1,19,3,3,1,0,2,1
17,1,0,0,1,1,19,3,3,1,0,2,1
17,1,0,1,1,1,19,3,3,1,0,2,1
17,1,1,1,1,1,19,3,3,1,0,2,1
17,0,0,2,1,1,19,3,3,1,0,2,1
17,0,1,0,1,1,19,3,3,1,0,2,1
17,2,1,1,1,1,19,3,3,1,0,2,1
23,1,1,1,1,1,27,2,5,0,0,2,0
23,1,1,1,1,1,27,1,4,1,0,2,0
23,1,1,1,1,1,27,2,5,0,0,2,0
23,1,1,1,1,1,27,1,4,1,0,2,0
23,0,0,1,1,1,27,2,5,0,0,2,0
23,0,0,1,1,1,27,1,4,1,0,2,0
23,2,0,1,1,1,27,2,5,0,0,2,0
23,2,0,1,1,1,27,1,4,1,0,2,0
23,2,1,0,1,1,27,2,5,0,0,2,0
23,2,1,0,1,1,27,1,4,1,0,2,0
17,2,0,1,0,1,18,1,13,1,0,2,1
17,2,0,1,0,1,24,3,11,1,1,0,0
17,2,0,1,0,1,23,0,7,1,1,1,0
17,2,0,1,0,1,27,0,12,0,1,0,0
17,2,0,1,0,1,29,1,0,1,1,0,0
17,1,0,1,1,1,18,1,13,1,0,2,1
17,1,0,1,1,1,24,3,11,1,1,0,0
17,1,0,1,1,1,23,0,7,1,1,1,0
17,1,0,1,1,1,27,0,12,0,1,0,0
17,1,0,1,1,1,29,1,0,1,1,0,0
17,2,0,1,1,1,18,1,13,1,0,2,1
17,2,0,1,1,1,24,3,11,1,1,0,0
17,2,0,1,1,1,23,0,7,1,1,1,0
17,2,0,1,1,1,27,0,12,0,1,0,0
17,2,0,1,1,1,29,1,0,1,1,0,0
17,2,1,0,1,1,27,1,9,0,1,1,0
17,2,1,0,1,1,25,2,20,1,1,1,0
17,1,0,1,1,1,27,1,9,0,1,1,0
17,1,0,1,1,1,25,2,20,1,1,1,0
17,2,0,2,1,1,27,1,9,0,1,1,0
17,2,0,2,1,1,25,2,20,1,1,1,0
17,2,1,1,0,1,27,1,9,0,1,1,0
17,2,1,1,0,1,25,2,20,1,1,1,0
17,2,0,1,1,1,27,1,9,0,1,1,0
17,2,0,1,1,1,25,2,20,1,1,1,0
17,2,1,0,1,1,27,1,9,0,1,1,0
17,2,1,0,1,1,25,2,20,1,1,1,0
17,0,1,1,1,1,27,1,9,0,1,1,0
17,0,1,1,1,1,25,2,20,1,1,1,0
17,1,1,1,1,1,27,1,9,0,1,1,0
17,1,1,1,1,1,25,2,20,1,1,1,0
17,0,0,2,0,1,27,1,9,0,1,1,0
17,0,0,2,0,1,25,2,20,1,1,1,0
17,1,1,0,1,1,27,1,9,0,1,1,0
17,1,1,0,1,1,25,2,20,1,1,1,0
21,1,1,0,1,1,27,2,1,0,0,1,0
21,1,1,0,1,1,27,0,7,1,1,1,0
21,1,1,0,1,1,27,2,1,0,0,1,0
21,1,1,0,1,1,27,0,7,1,1,1,0
21,1,1,2,1,1,27,2,1,0,0,1,0
21,1,1,2,1,1,27,0,7,1,1,1,0
21,0,0,0,1,1,27,2,1,0,0,1,0
21,0,0,0,1,1,27,0,7,1,1,1,0
21,0,1,0,1,1,27,2,1,0,0,1,0
21,0,1,0,1,1,27,0,7,1,1,1,0
21,2,1,2,1,1,27,2,1,0,0,1,0
21,2,1,2,1,1,27,0,7,1,1,1,0
21,2,0,1,1,1,27,2,1,0,0,1,0
21,2,0,1,1,1,27,0,7,1,1,1,0
9,1,1,1,1,1,18,3,17,0,1,2,1
9,1,1,1,1,1,25,3,13,0,1,2,1
10,2,1,1,1,1,27,2,5,0,1,2,1
10,2,1,1,1,1,20,3,17,0,1,2,1
17,1,0,1,1,0,19,3,0,1,1,1,0
17,1,0,1,1,0,24,2,4,1,1,2,1
17,1,0,1,1,0,20,3,19,1,1,1,0
17,1,1,1,1,0,19,3,0,1,1,1,0
17,1,1,1,1,0,24,2,4,1,1,2,1
17,1,1,1,1,0,20,3,19,1,1,1,0
17,1,0,2,1,0,19,3,0,1,1,1,0
17,1,0,2,1,0,24,2,4,1,1,2,1
17,1,0,2,1,0,20,3,19,1,1,1,0
17,2,1,1,1,0,19,3,0,1,1,1,0
17,2,1,1,1,0,24,2,4,1,1,2,1
17,2,1,1,1,0,20,3,19,1,1,1,0
17,0,1,2,1,0,19,3,0,1,1,1,0
17,0,1,2,1,0,24,2,4,1,1,2,1
17,0,1,2,1,0,20,3,19,1,1,1,0
22,1,1,1,1,0,22,3,1,1,1,2,0
22,1,0,0,1,0,22,3,1,1,1,2,0
22,2,1,2,1,0,22,3,1,1,1,2,0
22,1,1,0,1,0,22,3,1,1,1,2,0
22,2,1,1,1,0,22,3,1,1,1,2,0
15,1,1,0,1,0,23,2,2,0,0,1,0
15,1,1,0,1,0,21,2,7,1,1,0,0
15,1,1,0,1,0,23,1,13,1,1,2,1
15,2,0,1,1,0,23,2,2,0,0,1,0
15,2,0,1,1,0,21,2,7,1,1,0,0
15,2,0,1,1,0,23,1,13,1,1,2,1
15,0,0,2,1,0,23,2,2,0,0,1,0
15,0,0,2,1,0,21,2,7,1,1,0,0
15,0,0,2,1,0,23,1,13,1,1,2,1
15,1,0,1,1,0,23,2,2,0,0,1,0
15,1,0,1,1,0,21,2,7,1,1,0,0
15,1,0,1,1,0,23,1,13,1,1,2,1
15,1,1,1,1,0,23,2,2,0,0,1,0
15,1,1,1,1,0,21,2,7,1,1,0,0
15,1,1,1,1,0,23,1,13,1,1,2,1
15,1,0,1,1,0,23,2,2,0,0,1,0
15,1,0,1,1,0,21,2,7,1,1,0,0
15,1,0,1,1,0,23,1,13,1,1,2,1
12,2,1,1,1,1,21,0,16,1,1,2,1
12,2,1,1,1,1,22,2,20,1,1,1,0
12,2,1,1,1,1,21,0,16,1,1,2,1
12,2,1,1,1,1,22,2,20,1,1,1,0
29,1,0,2,1,0,28,0,2,1,1,2,0
29,2,1,1,1,0,28,0,2,1,1,2,0
19,2,0,1,1,1,25,3,13,1,1,0,0
19,1,0,1,1,1,25,3,13,1,1,0,0
19,2,0,0,1,1,25,3,13,1,1,0,0
19,2,1,0,1,1,25,3,13,1,1,0,0
19,0,0,1,1,1,25,3,13,1,1,0,0
19,1,1,0,1,1,25,3,13,1,1,0,0
19,1,1,1,1,1,25,3,13,1,1,0,0
19,1,0,1,1,1,25,3,13,1,1,0,0
19,0,0,2,1,1,25,3,13,1,1,0,0
19,2,1,1,1,1,25,3,13,1,1,0,0
19,2,0,0,1,1,25,3,13,1,1,0,0
19,1,0,1,1,1,25,3,13,1,1,0,0
20,2,0,0,1,0,22,3,3,1,1,2,0
20,2,0,0,1,0,24,1,20,1,0,1,0
20,2,0,0,1,0,29,0,13,0,0,0,0
20,1,1,0,1,0,22,3,3,1,1,2,0
20,1,1,0,1,0,24,1,20,1,0,1,0
20,1,1,0,1,0,29,0,13,0,0,0,0
20,2,1,1,0,0,22,3,3,1,1,2,0
20,2,1,1,0,0,24,1,20,1,0,1,0
20,2,1,1,0,0,29,0,13,0,0,0,0
20,1,1,2,1,0,22,3,3,1,1,2,0
20,1,1,2,1,0,24,1,20,1,0,1,0
20,1,1,2,1,0,29,0,13,0,0,0,0
20,0,1,2,1,0,22,3,3,1,1,2,0
20,0,1,2,1,0,24,1,20,1,0,1,0
20,0,1,2,1,0,29,0,13,0,0,0,0
11,1,1,2,1,1,25,2,4,1,0,1,0
11,1,1,2,1,1,27,0,15,0,1,2,1
11,1,1,2,1,1,18,0,13,0,1,2,1
11,1,1,2,1,1,19,2,3,1,1,2,1
11,1,1,2,1,1,21,3,8,1,1,1,0
11,2,1,1,1,1,25,2,4,1,0,1,0
11,2,1,1,1,1,27,0,15,0,1,2,1
11,2,1,1,1,1,18,0,13,0,1,2,1
11,2,1,1,1,1,19,2,3,1,1,2,1
11,2,1,1,1,1,21,3,8,1,1,1,0
17,2,1,1,1,0,28,2,12,0,0,0,0
17,2,1,1,1,0,21,1,16,0,1,2,1
17,2,1,1,1,0,28,2,12,0,0,0,0
17,2,1,1,1,0,21,1,16,0,1,2,1
17,0,1,1,1,0,28,2,12,0,0,0,0
17,0,1,1,1,0,21,1,16,0,1,2,1
17,1,0,1,1,0,28,2,12,0,0,0,0
17,1,0,1,1,0,21,1,16,0,1,2,1
17,1,0,1,1,0,28,2,12,0,0,0,0
17,1,0,1,1,0,21,1,16,0,1,2,1
21,0,1,2,1,1,26,2,9,1,0,2,0
21,0,0,2,1,1,26,2,9,1,0,2,0
21,1,0,1,1,1,26,2,9,1,0,2,0
13,1,0,1,1,0,19,0,7,1,0,1,0
13,1,0,1,1,0,25,3,12,0,0,2,1
13,1,0,1,1,0,21,0,13,1,0,2,1
13,1,0,1,1,0,29,1,3,1,1,2,1
13,1,0,1,1,0,28,1,11,1,1,2,1
13,1,0,1,1,0,19,2,18,0,0,2,1
13,1,1,1,1,0,19,0,7,1,0,1,0
13,1,1,1,1,0,25,3,12,0,0,2,1
13,1,1,1,1,0,21,0,13,1,0,2,1
13,1,1,1,1,0,29,1,3,1,1,2,1
13,1,1,1,1,0,28,1,11,1,1,2,1
13,1,1,1,1,0,19,2,18,0,0,2,1
22,2,1,1,1,1,28,2,11,0,1,2,0
22,1,1,2,1,1,28,2,11,0,1,2,0
22,1,1,2,0,1,28,2,11,0,1,2,0
22,1,1,2,1,1,28,2,11,0,1,2,0
22,0,1,1,1,1,28,2,11,0,1,2,0
16,1,0,1,1,0,19,1,0,1,0,2,1
16,1,0,2,0,0,19,1,0,1,0,2,1
16,2,1,1,1,0,19,1,0,1,0,2,1
16,1,0,1,1,0,19,1,0,1,0,2,1
16,2,1,2,1,0,19,1,0,1,0,2,1
18,2,0,0,1,1,22,1,3,0,1,1,0
18,2,0,0,1,1,27,2,11,0,1,0,0
18,1,0,1,1,1,22,1,3,0,1,1,0
18,1,0,1,1,1,27,2,11,0,1,0,0
18,2,0,1,1,1,22,1,3,0,1,1,0
18,2,0,1,1,1,27,2,11,0,1,0,0
18,2,1,1,1,1,22,1,3,0,1,1,0
18,2,1,1,1,1,27,2,11,0,1,0,0
18,1,1,0,0,1,22,1,3,0,1,1,0
18,1,1,0,0,1,27,2,11,0,1,0,0
18,2,1,1,0,1,22,1,3,0,1,1,0
18,2,1,1,0,1,27,2,11,0,1,0,0
18,1,1,2,1,1,22,1,3,0,1,1,0
18,1,1,2,1,1,27,2,11,0,1,0,0
18,1,1,1,1,1,22,1,3,0,1,1,0
18,1,1,1,1,1,27,2,11,0,1,0,0
16,1,0,1,1,0,27,1,12,1,0,1,0
16,1,0,1,1,0,26,1,0,0,1,0,0
16,2,1,0,1,0,27,1,12,1,0,1,0
16,2,1,0,1,0,26,1,0,0,1,0,0
16,1,1,1,1,0,27,1,12,1,0,1,0
16,1,1,1,1,0,26,1,0,0,1,0,0
16,1,1,1,1,0,27,1,12,1,0,1,0
16,1,1,1,1,0,26,1,0,0,1,0,0
16,1,1,2,1,0,27,1,12,1,0,1,0
16,1,1,2,1,0,26,1,0,0,1,0,0
16,1,1,1,1,0,27,1,12,1,0,1,0
16,1,1,1,1,0,26,1,0,0,1,0,0
16,1,1,0,1,0,27,1,12,1,0,1,0
16,1,1,0,1,0,26,1,0,0,1,0,0
16,1,0,0,1,0,27,1,12,1,0,1,0
16,1,0,0,1,0,26,1,0,0,1,0,0
31,2,1,1,1,1,28,2,1,0,1,2,0
20,1,1,1,1,1,21,3,3,1,1,0,0
20,1,1,1,1,1,18,3,9,0,0,2,0
20,2,1,1,1,1,21,3,3,1,1,0,0
20,2,1,1,1,1,18,3,9,0,0,2,0
20,2,0,0,1,1,21,3,3,1,1,0,0
20,2,0,0,1,1,18,3,9,0,0,2,0
20,1,1,2,1,1,21,3,3,1,1,0,0
20,1,1,2,1,1,18,3,9,0,0,2,0
14,1,0,1,1,0,18,0,6,0,1,2,1
14,0,1,0,1,0,18,0,6,0,1,2,1
25,1,0,1,1,0,25,3,0,1,0,1,0
25,1,0,1,1,0,28,3,12,1,1,0,0
25,2,1,2,1,0,25,3,0,1,0,1,0
25,2,1,2,1,0,28,3,12,1,1,0,0
25,0,1,1,1,0,25,3,0,1,0,1,0
25,0,1,1,1,0,28,3,12,1,1,0,0
25,1,1,1,1,0,25,3,0,1,0,1,0
25,1,1,1,1,0,28,3,12,1,1,0,0
25,0,1,1,1,0,25,3,0,1,0,1,0
25,0,1,1,1,0,28,3,12,1,1,0,0
25,2,1,0,0,0,25,3,0,1,0,1,0
25,2,1,0,0,0,28,3,12,1,1,0,0
21,0,1,0,1,0,20,3,1,1,1,0,0
21,0,1,0,1,0,24,1,2,1,0,2,0
21,2,1,0,0,0,20,3,1,1,1,0,0
21,2,1,0,0,0,24,1,2,1,0,2,0
8,1,0,0,1,0,28,2,9,1,0,1,0
8,1,0,0,1,0,23,1,4,1,1,1,0
8,1,0,0,1,0,20,3,6,1,0,0,0
8,2,1,1,1,0,28,2,9,1,0,1,0
8,2,1,1,1,0,23,1,4,1,1,1,0
8,2,1,1,1,0,20,3,6,1,0,0,0
12,1,1,1,1,0,28,1,15,1,0,1,0
12,1,1,1,1,0,26,2,20,1,1,2,1
12,1,1,1,1,0,29,1,5,0,1,1,0
12,0,1,2,1,0,28,1,15,1,0,1,0
12,0,1,2,1,0,26,2,20,1,1,2,1
12,0,1,2,1,0,29,1,5,0,1,1,0
12,1,0,2,1,0,28,1,15,1,0,1,0
12,1,0,2,1,0,26,2,20,1,1,2,1
12,1,0,2,1,0,29,1,5,0,1,1,0
12,0,1,2,1,0,28,1,15,1,0,1,0
12,0,1,2,1,0,26,2,20,1,1,2,1
12,0,1,2,1,0,29,1,5,0,1,1,0
12,1,0,0,1,0,28,1,15,1,0,1,0
12,1,0,0,1,0,26,2,20,1,1,2,1
12,1,0,0,1,0,29,1,5,0,1,1,0
21,1,1,0,1,1,21,0,0,0,1,1,0
21,0,1,2,0,1,21,0,0,0,1,1,0
21,1,0,2,1,1,21,0,0,0,1,1,0
21,2,0,0,1,1,21,0,0,0,1,1,0
21,1,1,1,1,1,21,0,0,0,1,1,0
21,1,0,1,1,1,21,0,0,0,1,1,0
21,2,1,2,1,1,21,0,0,0,1,1,0
21,2,0,1,1,1,21,0,0,0,1,1,0
24,1,0,0,1,1,29,2,13,1,1,1,0
24,1,0,1,1,1,29,2,13,1,1,1,0
24,1,1,2,1,1,29,2,13,1,1,1,0
24,1,1,0,1,1,29,2,13,1,1,1,0
24,2,1,0,1,1,29,2,13,1,1,1,0
24,1,1,1,1,1,29,2,13,1,1,1,0
24,1,1,1,0,1,29,2,13,1,1,1,0
24,0,1,0,1,1,29,2,13,1,1,1,0
21,1,1,0,1,0,23,0,11,0,1,2,0
21,0,0,0,1,0,23,0,11,0,1,2,0
21,1,0,1,1,0,23,0,11,0,1,2,0
21,2,1,0,1,0,23,0,11,0,1,2,0
21,0,1,0,1,0,23,0,11,0,1,2,0
18,2,1,1,1,1,21,0,0,1,1,2,1
18,2,1,1,1,1,29,1,17,1,1,2,1
18,1,1,2,1,1,21,0,0,1,1,2,1
18,1,1,2,1,1,29,1,17,1,1,2,1
18,2,1,0,1,1,21,0,0,1,1,2,1
18,2,1,0,1,1,29,1,17,1,1,2,1
18,1,1,1,1,1,21,0,0,1,1,2,1
18,1,1,1,1,1,29,1,17,1,1,2,1
18,1,0,0,1,1,21,0,0,1,1,2,1
18,1,0,0,1,1,29,1,17,1,1,2,1
18,1,1,0,0,1,21,0,0,1,1,2,1
18,1,1,0,0,1,29,1,17,1,1,2,1
18,1,1,1,1,1,21,0,0,1,1,2,1
18,1,1,1,1,1,29,1,17,1,1,2,1
11,1,1,0,1,1,25,0,11,0,1,0,0
11,1,1,0,1,1,25,2,7,1,1,2,1
11,1,1,0,1,1,26,0,12,0,0,2,1
11,2,1,2,1,1,25,0,11,0,1,0,0
11,2,1,2,1,1,25,2,7,1,1,2,1
11,2,1,2,1,1,26,0,12,0,0,2,1
16,1,1,1,1,1,28,2,7,1,1,0,0
16,1,1,1,1,1,22,0,20,0,1,2,1
16,1,1,1,1,1,19,2,20,1,1,2,1
16,2,1,2,1,1,28,2,7,1,1,0,0
16,2,1,2,1,1,22,0,20,0,1,2,1
16,2,1,2,1,1,19,2,20,1,1,2,1
16,2,1,2,1,1,28,2,7,1,1,0,0
16,2,1,2,1,1,22,0,20,0,1,2,1
16,2,1,2,1,1,19,2,20,1,1,2,1
17,1,1,1,1,0,24,1,14,1,0,0,0
17,1,1,1,1,0,26,3,9,0,1,2,1
17,1,1,1,1,0,29,1,20,1,0,2,1
17,2,0,1,1,0,24,1,14,1,0,0,0
17,2,0,1,1,0,26,3,9,0,1,2,1
17,2,0,1,1,0,29,1,20,1,0,2,1
17,2,0,1,1,0,24,1,14,1,0,0,0
17,2,0,1,1,0,26,3,9,0,1,2,1
17,2,0,1,1,0,29,1,20,1,0,2,1
17,1,0,1,0,0,24,1,14,1,0,0,0
17,1,0,1,0,0,26,3,9,0,1,2,1
17,1,0,1,0,0,29,1,20,1,0,2,1
17,1,1,0,1,0,24,1,14,1,0,0,0
17,1,1,0,1,0,26,3,9,0,1,2,1
17,1,1,0,1,0,29,1,20,1,0,2,1
26,0,1,1,1,0,28,2,20,0,1,2,0
26,1,1,2,1,0,28,2,20,0,1,2,0
26,2,1,1,0,0,28,2,20,0,1,2,0
22,1,1,0,1,1,23,0,9,0,1,2,0
22,1,1,0,1,1,24,3,6,1,1,2,0
22,1,1,0,1,1,19,1,8,0,1,0,0
22,1,1,0,1,1,24,3,7,1,1,2,0
22,0,0,1,1,1,23,0,9,0,1,2,0
22,0,0,1,1,1,24,3,6,1,1,2,0
22,0,0,1,1,1,19,1,8,0,1,0,0
22,0,0,1,1,1,24,3,7,1,1,2,0
22,1,1,2,1,1,23,0,9,0,1,2,0
22,1,1,2,1,1,24,3,6,1,1,2,0
22,1,1,2,1,1,19,1,8,0,1,0,0
22,1,1,2,1,1,24,3,7,1,1,2,0
22,1,1,1,1,1,23,0,9,0,1,2,0
22,1,1,1,1,1,24,3,6,1,1,2,0
22,1,1,1,1,1,19,1,8,0,1,0,0
22,1,1,1,1,1,24,3,7,1,1,2,0
22,1,0,0,1,1,23,0,9,0,1,2,0
22,1,0,0,1,1,24,3,6,1,1,2,0
22,1,0,0,1,1,19,1,8,0,1,0,0
22,1,0,0,1,1,24,3,7,1,1,2,0
22,1,1,1,1,1,23,0,9,0,1,2,0
22,1,1,1,1,1,24,3,6,1,1,2,0
22,1,1,1,1,1,19,1,8,0,1,0,0
22,1,1,1,1,1,24,3,7,1,1,2,0
22,1,0,2,1,1,23,0,9,0,1,2,0
22,1,0,2,1,1,24,3,6,1,1,2,0
22,1,0,2,1,1,19,1,8,0,1,0,0
22,1,0,2,1,1,24,3,7,1,1,2,0
22,1,1,1,1,1,23,0,9,0,1,2,0
22,1,1,1,1,1,24,3,6,1,1,2,0
22,1,1,1,1,1,19,1,8,0,1,0,0
22,1,1,1,1,1,24,3,7,1,1,2,0
9,1,0,1,1,1,24,3,4,1,1,0,0
9,1,0,1,1,1,18,2,3,1,1,0,0
9,1,0,1,1,1,28,1,16,0,1,2,1
9,1,0,0,1,1,24,3,4,1,1,0,0
9,1,0,0,1,1,18,2,3,1,1,0,0
9,1,0,0,1,1,28,1,16,0,1,2,1
9,2,1,1,1,1,24,3,4,1,1,0,0
9,2,1,1,1,1,18,2,3,1,1,0,0
9,2,1,1,1,1,28,1,16,0,1,2,1
9,0,0,1,1,1,24,3,4,1,1,0,0
9,0,0,1,1,1,18,2,3,1,1,0,0
9,0,0,1,1,1,28,1,16,0,1,2,1
22,1,1,0,1,1,20,0,18,0,1,2,0
22,1,0,2,1,1,20,0,18,0,1,2,0
22,1,0,0,1,1,20,0,18,0,1,2,0
22,1,1,1,1,1,20,0,18,0,1,2,0
22,2,1,1,1,1,20,0,18,0,1,2,0
22,0,1,1,1,1,20,0,18,0,1,2,0
22,1,1,0,1,1,20,0,18,0,1,2,0
18,1,0,1,1,1,26,0,20,0,0,2,1
18,1,0,1,1,1,18,3,20,0,0,0,0
18,2,0,0,1,1,26,0,20,0,0,2,1
18,2,0,0,1,1,18,3,20,0,0,0,0
18,2,1,0,1,1,26,0,20,0,0,2,1
18,2,1,0,1,1,18,3,20,0,0,0,0
18,2,1,2,1,1,26,0,20,0,0,2,1
18,2,1,2,1,1,18,3,20,0,0,0,0
18,1,1,2,1,1,26,0,20,0,0,2,1
18,1,1,2,1,1,18,3,20,0,0,0,0
18,2,1,2,1,1,26,0,20,0,0,2,1
18,2,1,2,1,1,18,3,20,0,0,0,0
18,0,1,1,1,1,26,0,20,0,0,2,1
18,0,1,1,1,1,18,3,20,0,0,0,0
18,2,0,1,1,1,26,0,20,0,0,2,1
18,2,0,1,1,1,18,3,20,0,0,0,0
18,2,1,2,1,1,26,0,20,0,0,2,1
18,2,1,2,1,1,18,3,20,0,0,0,0
16,1,1,1,1,1,26,1,10,1,1,1,0
16,1,1,1,1,1,18,2,15,1,1,1,0
16,1,1,1,1,1,29,1,15,0,1,2,1
16,2,0,1,1,1,26,1,10,1,1,1,0
16,2,0,1,1,1,18,2,15,1,1,1,0
16,2,0,1,1,1,29,1,15,0,1,2,1
16,1,1,0,1,1,26,1,10,1,1,1,0
16,1,1,0,1,1,18,2,15,1,1,1,0
16,1,1,0,1,1,29,1,15,0,1,2,1
16,1,1,2,1,1,26,1,10,1,1,1,0
16,1,1,2,1,1,18,2,15,1,1,1,0
16,1,1,2,1,1,29,1,15,0,1,2,1
16,1,0,2,1,1,26,1,10,1,1,1,0
16,1,0,2,1,1,18,2,15,1,1,1,0
16,1,0,2,1,1,29,1,15,0,1,2,1
16,0,0,0,1,1,26,1,10,1,1,1,0
16,0,0,0,1,1,18,2,15,1,1,1,0
16,0,0,0,1,1,29,1,15,0,1,2,1
24,0,0,1,1,0,22,0,13,1,0,0,0
24,0,0,1,1,0,19,1,13,0,1,2,0
24,0,0,1,1,0,26,3,16,0,1,0,0
24,0,0,1,1,0,19,2,10,1,0,1,0
24,2,0,2,1,0,22,0,13,1,0,0,0
24,2,0,2,1,0,19,1,13,0,1,2,0
24,2,0,2,1,0,26,3,16,0,1,0,0
24,2,0,2,1,0,19,2,10,1,0,1,0
24,1,0,2,1,0,22,0,13,1,0,0,0
24,1,0,2,1,0,19,1,13,0,1,2,0
24,1,0,2,1,0,26,3,16,0,1,0,0
24,1,0,2,1,0,19,2,10,1,0,1,0
26,2,1,0,1,0,26,1,0,1,0,0,0
26,2,1,0,1,0,18,0,15,0,1,1,0
26,2,1,0,1,0,19,0,0,1,1,2,0
26,2,0,1,1,0,26,1,0,1,0,0,0
26,2,0,1,1,0,18,0,15,0,1,1,0
26,2,0,1,1,0,19,0,0,1,1,2,0
26,1,1,1,1,0,26,1,0,1,0,0,0
26,1,1,1,1,0,18,0,15,0,1,1,0
26,1,1,1,1,0,19,0,0,1,1,2,0
26,1,0,1,1,0,26,1,0,1,0,0,0
26,1,0,1,1,0,18,0,15,0,1,1,0
26,1,0,1,1,0,19,0,0,1,1,2,0
26,0,1,1,1,0,26,1,0,1,0,0,0
26,0,1,1,1,0,18,0,15,0,1,1,0
26,0,1,1,1,0,19,0,0,1,1,2,0
26,2,1,1,1,1,28,3,4,1,1,1,0
26,2,1,1,1,1,19,1,9,0,1,2,0
26,2,1,1,1,1,28,2,4,1,1,2,0
26,0,0,0,1,1,28,3,4,1,1,1,0
26,0,0,0,1,1,19,1,9,0,1,2,0
26,0,0,0,1,1,28,2,4,1,1,2,0
26,2,0,1,1,1,28,3,4,1,1,1,0
26,2,0,1,1,1,19,1,9,0,1,2,0
26,2,0,1,1,1,28,2,4,1,1,2,0
26,1,1,1,1,1,28,3,4,1,1,1,0
26,1,1,1,1,1,19,1,9,0,1,2,0
26,1,1,1,1,1,28,2,4,1,1,2,0
15,2,0,0,0,0,20,1,5,0,1,1,0
15,2,0,0,0,0,22,2,9,1,1,1,0
15,0,1,1,1,0,20,1,5,0,1,1,0
15,0,1,1,1,0,22,2,9,1,1,1,0
15,1,0,1,1,0,20,1,5,0,1,1,0
15,1,0,1,1,0,22,2,9,1,1,1,0
15,2,1,1,1,0,20,1,5,0,1,1,0
15,2,1,1,1,0,22,2,9,1,1,1,0
15,2,0,0,1,0,20,1,5,0,1,1,0
15,2,0,0,1,0,22,2,9,1,1,1,0
15,0,1,0,1,0,20,1,5,0,1,1,0
15,0,1,0,1,0,22,2,9,1,1,1,0
22,0,0,1,1,0,24,0,11,1,1,2,0
22,2,1,1,1,0,24,0,11,1,1,2,0
22,1,1,0,1,0,24,0,11,1,1,2,0
